S06752	Ballinter	\N	53.631	-6.791	Ireland	\N	\N	\N	\N	\N
S02545	LA PRAIRIE	\N	44.720	4.940	France	\N	\N	\N	\N	\N
S03606	Saint Nazaire-le-desert Trou Arnaud A	\N	44.570	5.270	France	\N	\N	\N	\N	\N
S12080	Masham	Yorkshire and North Lincolnshire	54.233	-1.669	Great Britain	\N	2023-04-27 13:45:48	sam@localhost	2023-07-24 14:44:22	robert@localhost
S20891	Mezöszemere-Kismari-Fenék	\N	47.747	20.519	Hungary	\N	2024-12-12 14:44:03	jan@localhost	2024-12-12 14:44:03	jan@localhost
S02722	LES BARAQUETTES	\N	45.000	2.550	France	\N	\N	\N	\N	\N
S11537	Булганакское; Bulganak	Crimean peninsula (полуостров Крым)	44.924	33.869	Ukraine	\N	2023-02-13 17:30:53	natalya@localhost	2023-02-13 17:30:53	natalya@localhost
S02415	Knap Hill	\N	51.326	-0.618	Great Britain	\N	\N	\N	\N	\N
S08900	Arreton down	\N	50.684	-1.244	Great Britain	\N	\N	\N	\N	\N
S10342	Židovar; Жидовар	\N	44.950	21.264	Serbia	\N	2022-02-25 09:00:05	jelena@localhost	2022-02-25 09:00:05	jelena@localhost
S10940	Dragușeni-Ostrov; Dragușeni	\N	48.005	26.820	Romania	\N	2022-05-13 19:12:19	jelena@localhost	2023-07-12 12:34:01	jelena@localhost
S12015	Вільшана; Ольшана; Wilshana	Cherkasy region (Черкаська область)	49.221	31.208	Ukraine	location of the village	2023-04-07 15:28:52	natalya@localhost	2023-04-07 15:28:52	natalya@localhost
S11746	Přibice – tábor 2	Brno-venkov	48.980	16.557	Czechia / Czech Republic	\N	2023-02-27 15:02:00	jan@localhost	2023-03-07 14:45:25	jan@localhost
S07730	Male Czyste 20	\N	53.300	18.500	Poland	\N	\N	\N	\N	\N
S03991	TINCAVE - LA PIAT	\N	45.450	6.650	France	\N	\N	\N	\N	\N
S02574	LA VIEILLE LAME	\N	48.090	3.290	France	\N	\N	\N	\N	\N
S13015	Jačmica	\N	45.439	13.720	Croatia	\N	2023-10-18 17:56:17	jan@localhost	2023-10-18 17:56:17	jan@localhost
S21032	terasa Hloučely	Mostkovice- Stichovice	49.473	17.038	Czechia / Czech Republic	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S02397	King Arthur's Cave	\N	51.836	-2.659	Great Britain	\N	\N	\N	\N	\N
S06406	Haddenham	\N	52.353	0.069	Great Britain	\N	\N	\N	\N	\N
S12113	Hannover-Anderten	Lower Saxony	52.363	9.857	Germany	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S10796	Radovanu; Radovanu II; Radovanu-La Muscalu	Călăraşi County	44.168	26.516	Romania	\N	2022-04-29 11:29:47	jelena@localhost	2023-07-26 06:48:49	jelena@localhost
S02484	LA CHEVETELIERE	\N	46.550	-1.730	France	\N	\N	\N	\N	\N
S01967	Fussel's Lodge	\N	51.091	-1.727	Great Britain	\N	\N	\N	\N	\N
S03006	Molenaarsgraaf h (1967/1.)	\N	51.877	4.825	Netherlands	\N	\N	\N	2024-08-07 11:17:06	robert@localhost
S20389	Tiel-Medel-Afronding	Gelderland Province	51.912	5.460	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:41:07	jelena@localhost
S03001	Misbourne Viaduct	\N	51.580	-0.534	Great Britain	\N	\N	\N	\N	\N
S07688	Iwanowice, Babia Góra I	\N	50.221	19.973	Poland	\N	2022-06-22 15:06:30	robert@localhost	2022-06-22 16:06:30	robert@localhost
S10450	Cheny	\N	47.955	3.536	France	Google Earth: +/- 5km radius	2022-04-12 11:31:59	robert@localhost	2022-04-12 12:31:59	robert@localhost
S10025	Haunstetten, Augsburg "Unterer Talweg"	\N	48.316	10.892	Germany	Includes "Unterer Talweg  58-62" and "Unterer Talweg 85"/"Unterer Talweg 49", "Sportgelände"	2021-12-13 15:13:17	robert@localhost	2021-12-13 15:13:17	robert@localhost
S08128	Söderåkra; Möre Söderåkra	\N	56.450	16.067	Sweden	\N	\N	\N	2023-10-27 12:54:36	natalya@localhost
S03228	Oudemolen	\N	53.050	6.640	Netherlands	\N	\N	\N	\N	\N
S03233	Ouveillan Les Courondes	\N	43.290	2.970	France	\N	\N	\N	\N	\N
S10055	Danilo; Danilo Bitinj	\N	43.701	16.059	Croatia	\N	2022-04-08 11:43:43	jelena@macelab-server.biochem.ucl.ac.uk	2022-04-08 12:43:43	jelena@macelab-server.biochem.ucl.ac.uk
S02318	Jäckelberg-Nord	\N	54.065	11.459	Germany	\N	\N	\N	\N	\N
S20903	Apolianka; Аполянка	 Uman Raion, Cherkasy Oblast	48.733	30.406	Ukraine	location of the village	2024-12-27 11:36:18	jelena@localhost	2024-12-27 11:36:18	jelena@localhost
S10852	Szegvár-Tűzköves	\N	46.589	20.250	Hungary	Found to closest town; within 3 km	2022-05-02 11:31:41	sam@localhost	2024-10-14 14:55:59	jan@localhost
S11645	Pěnčín-Jistebsko I	Jablonec nad Nisou	50.702	15.213	Czechia / Czech Republic	\N	2023-02-22 14:17:14	jan@localhost	2023-03-07 14:45:25	jan@localhost
S13135	Дяково; Djakovo; Dyakovo	\N	42.333	23.117	Bulgaria	\N	2024-02-13 17:17:22	jan@localhost	2024-02-14 08:54:30	jelena@localhost
S07176	Newdown	\N	53.504	-7.231	Ireland	\N	\N	\N	\N	\N
S20409	Ewijk-De Woerdjes	Gelderland Province	51.870	5.740	Netherlands	based on the publication groot2024a (not exact location)	2024-07-11 14:09:04	jelena@localhost	2024-07-19 13:59:00	jelena@localhost
S11267	Yngsjö 219:351	\N	55.885	14.239	Sweden	\N	2022-10-06 08:43:52	jelena@localhost	2022-10-06 11:10:31	jelena@localhost
S13190	Erisvænget; 190506-327	Jutland	55.524	8.411	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S11151	Bad Zurzach	\N	47.588	8.293	Switzerland	\N	\N	\N	2022-07-14 11:53:12	robert@localhost
S10708	Xirolimni	\N	40.299	21.656	Greece	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S06275	Chilton	\N	51.181	-2.877	Great Britain	\N	\N	\N	\N	\N
S06708	Witton	\N	52.834	1.465	Great Britain	\N	\N	\N	\N	\N
S10557	Rygegård	\N	56.982	9.655	Denmark	Within 7 km	2022-03-29 10:01:18	sam@localhost	2023-04-20 14:44:12	Rscripts@localhost
S02250	Holzhausen	\N	52.890	8.370	Germany	\N	\N	\N	\N	\N
S11031	Praha - Miškovice	Hlavní město Praha	50.156	14.539	Czechia / Czech Republic	\N	2022-05-27 09:33:05	robert@localhost	2023-01-19 14:36:28	jan@localhost
S08865	Meistratzheim	\N	48.450	7.540	France	\N	\N	\N	\N	\N
S06896	Clonboyne	\N	53.019	-7.342	Ireland	\N	\N	\N	\N	\N
S10129	Kleinhadersdorf; Kleinhadersdorf Flur Marchleiten	\N	48.667	16.580	Austria	\N	2022-01-19 17:34:55	robert@localhost	2023-11-20 16:43:57	robert@localhost
S10560	Aggersborg Kirke	\N	56.997	9.254	Denmark	\N	2022-03-29 10:01:18	sam@localhost	2023-04-20 14:44:12	Rscripts@localhost
S10031	Weichering	\N	48.706	11.325	Germany	\N	2021-12-13 15:13:17	robert@localhost	2021-12-13 15:13:17	robert@localhost
S08995	Lieusaint - Centre commercial 2	\N	48.630	2.550	France	\N	\N	\N	\N	\N
S12706	Szilvásvárad-Töröksánc; Szilvásvárad-Kelemen széke	Heves county	48.085	20.389	Hungary	location of the village	2023-07-19 14:27:29	jelena@localhost	2023-07-19 14:27:29	jelena@localhost
S03134	Noisy-sur-Ecole, Le paradis	\N	48.370	2.490	France	\N	\N	\N	\N	\N
S04187	Overhespen	\N	50.790	5.030	Belgium	B (p1-19) records taxa recovered from pits; 28 samples taken but only 16 had identifiable remains (vols: 1-3 dm3); deposits were sticky loess-loam & flotation was not possible; site excv from '79-'85; Wange is contemporaneous (on opposite bank of river)	\N	\N	\N	\N
S07482	Ülvesheim	\N	49.667	9.333	Germany	\N	\N	\N	\N	\N
S09147	Saint-Denijs-Westrem	\N	51.030	5.660	Belgium	\N	\N	\N	\N	\N
S12011	Колодисте ІІ; Kolodiste II	Cherkasy region (Черкаська область)	48.871	30.895	Ukraine	location of the village	2023-04-07 15:28:52	natalya@localhost	2023-04-07 15:28:52	natalya@localhost
S20755	Serra del Mas Bonet	Girona	42.250	2.938	Spain	\N	2024-11-01 13:53:05	natalya@localhost	2024-11-01 13:53:05	natalya@localhost
S10378	Falköping stad 26	\N	58.176	13.553	Sweden	\N	2022-03-07 13:31:57	sam@localhost	2022-03-07 13:31:57	sam@localhost
S08869	Vayssiere	\N	44.000	3.050	France	\N	\N	\N	\N	\N
S03064	Müddersheim	\N	50.750	6.660	Germany	\N	\N	\N	\N	\N
S01961	Friesack 4	\N	52.750	12.530	Germany	\N	\N	\N	\N	\N
S10472	Hessen a. Fallstein	\N	52.016	10.778	Germany	Google Earth: +/- 5km radius	2022-04-12 11:31:25	robert@localhost	2022-04-12 12:31:25	robert@localhost
S13207	Lisbjerg Skole; 150604-49	Jutland	56.213	10.176	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S06497	Meyllteyrn	\N	52.865	-4.622	Great Britain	\N	\N	\N	\N	\N
S04350	Darion	\N	50.650	5.180	Belgium	B&R (p37-57) list taxa in a single sample/pit; 0.7 dm3 processed; B&R give nos of taxa per sample - table 4, p49; in this sample they record a density of 28.6  items per dm3	\N	\N	\N	\N
S01317	Bleckendorf	\N	51.950	11.430	Germany	\N	\N	\N	\N	\N
S12843	Dorestad-Veilingterrein	Utrecht Province	51.976	5.337	Netherlands	based on the publication groot2024a (not exact location)	2024-11-06 11:19:47	jelena@localhost	2024-11-06 11:19:51	jelena@localhost
S10998	Curteni; Curteni-Valea Merilor	Vaslui County	46.599	27.934	Romania	within 1 km	2022-05-17 11:52:57	jelena@localhost	2023-07-31 10:57:39	jelena@localhost
S12836	Houten-Binnenweg 21	Utrecht Province	52.035	5.185	Netherlands	based on the publication groot2024a (not exact location)	2024-11-04 11:06:36	jelena@localhost	2024-11-04 11:06:39	jelena@localhost
S11668	Záhlinice I	Kroměříž	49.282	17.493	Czechia / Czech Republic	\N	2023-02-22 14:33:16	jan@localhost	2023-03-07 14:45:25	jan@localhost
S09069	Bodman-Weiler	\N	47.804	9.028	Germany	\N	\N	\N	\N	\N
S11254	Stångby 5:28	\N	55.752	13.199	Sweden	within 1 km	2022-10-03 09:45:33	jelena@localhost	2022-10-03 09:45:33	jelena@localhost
S03527	Rolfsåker	\N	57.480	12.130	Sweden	\N	\N	\N	\N	\N
S12724	Adamclisi-Platou Est; Adamclisi-Platoul de Est	Constanţa County	44.091	27.952	Romania	\N	2023-08-03 11:55:16	jelena@localhost	2023-08-03 11:55:16	jelena@localhost
S06300	Cottington Lane	\N	51.326	1.355	Great Britain	\N	\N	\N	\N	\N
S13123	Коноплянка; Konoplyanka	Kartalinsky District (Chelyabinsk Region)	52.842	60.242	Russia	location of the village	2024-02-12 13:33:58	jelena@localhost	2024-02-12 13:33:58	jelena@localhost
S06413	Harland	\N	53.215	-1.569	Great Britain	\N	\N	\N	\N	\N
S06611	Sipson Lane	\N	51.493	-0.447	Great Britain	\N	\N	\N	\N	\N
S03672	Savièse - Château de la Soie; La Soie	Savièse, Valais	46.243	7.327	Switzerland	\N	\N	\N	2023-10-16 08:42:58	jelena@localhost
S03121	Niedertiefenbach	\N	50.255	7.896	Germany	\N	\N	\N	\N	\N
S20620	Leau	\N	51.733	11.795	Germany	Found to town via GoogleMaps; within 2 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S07876	Borum Eshøj	\N	56.217	9.983	Denmark	\N	\N	\N	\N	\N
S10548	Følhøj	\N	56.604	8.523	Denmark	Within 1 km	2022-03-29 10:01:18	sam@localhost	2022-03-29 11:01:18	sam@localhost
S12916	Ginderup; 110605-47; Ke5451	Thisted County	56.740	8.445	Denmark	Exact location; fund og fortidsminder	2023-08-17 08:48:02	sam@localhost	2023-08-17 08:48:02	sam@localhost
S03369	Potters Cave	\N	51.642	-4.683	Great Britain	\N	\N	\N	\N	\N
S08091	Nissehøj	\N	55.745	11.872	Denmark	\N	\N	\N	\N	\N
S06883	Clane	\N	53.291	-6.689	Ireland	\N	\N	\N	\N	\N
S20384	Rockanje 08-52	Zuid-Holland Province	51.871	4.070	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:45:15	jelena@localhost
S11053	Livada; Livada-Cluj	Cluj County	47.003	23.845	Romania	within 1 km	2022-06-06 08:32:01	jelena@localhost	2023-07-26 06:43:50	jelena@localhost
S21014	Chichery “Sur les Pâtureaux”	Yonne	47.910	3.526	France	Within 100 m; found Google Maps	2025-05-29 12:10:17	yuzhen_li@localhost	2025-05-29 12:10:17	yuzhen_li@localhost
S13234	Snoldelev Mose; 020509-17	Zealand	55.563	12.145	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S09087	erstein "krebsrott"	\N	48.423	7.663	France	\N	\N	\N	\N	\N
S07833	Zglowiaczka 3	\N	52.511	18.787	Poland	\N	\N	\N	\N	\N
S04164	Vlaardingen	\N	51.910	4.340	Netherlands	\N	\N	\N	\N	\N
S02182	Hamburg-Boberg	\N	53.517	10.150	Germany	\N	\N	\N	\N	\N
S01004	Aardhorst-Vessem	\N	51.420	5.290	Netherlands	\N	\N	\N	\N	\N
S10285	Obre 2	\N	44.102	18.140	Bosnia and Herzegovina	\N	2022-01-25 12:22:59	jelena@localhost	2022-01-25 12:22:59	jelena@localhost
S08887	Winnall Down	\N	51.069	-1.289	Great Britain	\N	\N	\N	\N	\N
S12247	Orubica - Veliki Šeš	\N	45.150	17.461	Croatia	must be removed (duplicate S10961)	2023-05-05 10:35:35	natalya@localhost	2023-06-12 13:34:27	natalya@localhost
S04831	Kraichtal-Gochsheim	\N	49.100	8.740	Germany	\N	\N	\N	\N	\N
S21022	Šlapanice	Brno	49.167	16.725	Czechia / Czech Republic	Aproximate location	2025-06-30 08:20:43	dominika_schmidtova@localhost	2025-06-30 08:20:43	dominika_schmidtova@localhost
S02747	LES FIEFS	\N	48.233	2.450	France	\N	\N	\N	\N	\N
S12936	Trudering	\N	48.130	11.660	Germany	Exact location in publication	2023-08-23 08:48:16	sam@localhost	2023-08-23 08:48:16	sam@localhost
S01415	Cabrieres,  Pioch Farrus	\N	43.580	3.370	France	\N	\N	\N	\N	\N
S07458	Irlbach	\N	48.850	12.767	Germany	\N	\N	\N	\N	\N
S13247	Verup Mose; 030306-39	Zealand	55.584	11.503	Denmark	Verup complex, St. Åmose	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S02233	High Rocks	\N	51.122	0.229	Great Britain	\N	\N	\N	2023-04-20 14:05:29	Rscripts@localhost
S06498	Micheldever Wood	\N	51.125	-1.253	Great Britain	\N	\N	\N	\N	\N
S21008	Arun	Brittany	48.289	-4.238	France	Aproximate location	2025-05-06 15:01:28	fredrik_dahlberg@localhost	2025-05-06 15:01:28	fredrik_dahlberg@localhost
S20760	Sant Llorenç Cave	Sant Joan Mountain	41.252	1.831	Spain	\N	2024-11-01 13:53:05	natalya@localhost	2024-11-01 13:53:05	natalya@localhost
S02145	Gudensberg, Bürgel	\N	51.175	9.371	Germany	\N	\N	\N	\N	\N
S11484	Бачкурино; Bachkurino	Cherkasy region(Черкаська область)	48.956	29.856	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S10481	Heutingsheim "Halde"	\N	48.933	9.199	Germany	Google Earth: +/- 5km radius	2022-04-12 11:31:21	robert@localhost	2022-04-12 12:31:21	robert@localhost
S08997	Léry	\N	49.280	1.200	France	\N	\N	\N	\N	\N
S12645	Drăgăneşti-Covurlui	Galați County	45.791	27.456	Romania	location of the village	2023-07-13 13:45:41	jelena@localhost	2023-07-13 13:45:41	jelena@localhost
S03794	Slochteren	\N	53.214	6.767	Netherlands	\N	\N	\N	\N	\N
S10422	Eltingen "Hummelberg"	\N	48.788	9.008	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S20619	Stuttgart-Mühlhausen I and II	\N	48.849	9.221	Germany	Found to town via GoogleMaps; within 5 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S11846	Дереивка; Dereivka	Kirovograd region (Кировоградская область)	48.904	33.716	Ukraine	Approximate location	2023-03-01 15:21:23	natalya@localhost	2023-04-19 14:39:02	natalya@localhost
S13004	Södra Kvinneby; Stenåsa 69:1	Öland	56.499	16.584	Sweden	Swedish Sites and Monuments Record (SHM)	2023-10-17 09:45:12	sam@localhost	2023-10-17 09:45:12	sam@localhost
S07934	Gribbylund	\N	59.465	18.087	Sweden	\N	\N	\N	\N	\N
S11063	Ţebea	\N	46.160	22.723	Romania	\N	2022-06-06 08:32:01	jelena@localhost	2022-06-06 09:32:01	jelena@localhost
S12850	Oegstgeest	Zuid-Holland Province	52.186	4.475	Netherlands	based on the publication groot2024a (not exact location)	2024-11-06 13:11:11	jelena@localhost	2024-11-06 13:11:11	jelena@localhost
S12217	Leceia	Estremadura	38.725	-9.280	Portugal	\N	2023-05-01 16:10:00	lea@localhost	2023-05-01 16:10:00	lea@localhost
S04112	Värby	\N	55.580	13.180	Sweden	\N	\N	\N	\N	\N
S10341	Ðakovo-Franjevac	\N	45.384	18.396	Croatia	\N	2022-01-29 09:56:21	claudia@macelab-server.biochem.ucl.ac.uk	2022-01-29 09:56:21	claudia@macelab-server.biochem.ucl.ac.uk
S02362	Mechernich-Weyer "Kartstein"	\N	50.530	6.650	Germany	\N	\N	\N	\N	\N
S10522	Resmo; RAÄ Resmo 70:1; Mysinge 2	\N	56.538	16.447	Sweden	Within 2 km; also reported as Mysinge 2	2022-03-15 10:13:52	sam@localhost	2023-06-27 16:36:10	robert@localhost
S02277	Hulshorst	\N	52.362	5.733	Netherlands	\N	\N	\N	\N	\N
S01734	Donkerbroek	\N	52.991	6.216	Netherlands	\N	\N	\N	\N	\N
S03086	Nagele Flevoland	\N	52.644	5.722	Netherlands	\N	\N	\N	\N	\N
S06071	Kutná Hora "Dänemark"	\N	49.947	15.267	Czechia / Czech Republic	\N	\N	\N	\N	\N
S11485	Веселый Кут; Veselyi Kut; Vesely Kut	Cherkasy region(Черкаська область)	48.955	30.627	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2024-12-27 08:53:36	jelena@localhost
S10990	Poderei; Tureni-Poderei; Poderei-Cheile Turenilor	Cluj County	46.606	23.710	Romania	\N	2022-05-17 11:01:13	jelena@localhost	2023-07-26 06:44:58	jelena@localhost
S02443	Kümmersreuth	\N	50.040	11.090	Germany	\N	\N	\N	\N	\N
S11173	Покровка; Pokrovka	\N	50.917	54.540	Russia	location of the village, the site lies on the left bank of the Ilek river	\N	\N	2022-07-28 10:47:25	jelena@localhost
S02784	LES RENARDIERES	\N	45.810	0.340	France	\N	\N	\N	\N	\N
S10673	Millin Bay	\N	54.368	-5.487	Great Britain	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S10754	Берендеево; Berendeyevo	\N	56.571	39.012	Russia	\N	2022-04-27 10:55:49	robert@localhost	2022-04-27 11:55:49	robert@localhost
S12093	Wood Quay	Dublin	53.333	-6.249	Ireland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S13198	Jordløse Mose VIII; 030606-58	Zealand	55.609	11.322	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S10177	Padina; Падина	\N	44.608	22.002	Serbia	\N	2022-01-21 19:22:24	jelena@macelab-server.biochem.ucl.ac.uk	2022-01-21 19:22:24	jelena@macelab-server.biochem.ucl.ac.uk
S01087	Annaghmare	\N	54.101	-6.617	Great Britain	\N	\N	\N	\N	\N
S01064	Allaman - En Verex	\N	46.467	6.383	Switzerland	\N	\N	\N	\N	\N
S07225	Scroggy Road	\N	55.046	-6.939	Ireland	\N	\N	\N	\N	\N
S07816	Ulucz 1/82	\N	49.667	22.267	Poland	\N	\N	\N	\N	\N
S20741	Mang de Bargen, Kr. Segeberg, LA 20	Schleswig-Holstein	54.068	10.262	Germany	Google Earth: +/- 20 m radius	2024-10-30 07:59:02	helene@localhost	2024-10-30 07:59:02	helene@localhost
S10533	Kula; Кула	\N	44.373	22.496	Serbia	\N	2022-03-24 11:54:03	jelena@macelab-server.biochem.ucl.ac.uk	2023-04-20 14:44:10	Rscripts@localhost
S03430	Rances	\N	46.761	6.527	Switzerland	\N	\N	\N	\N	\N
S10654	Holm of Papa Westrey	\N	59.340	-2.890	Great Britain	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S10477	Heidingsfeld "Bundesstraße 19, NO von Reichenberg"	\N	49.762	9.942	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03621	Grotte 1 de Sargel	\N	44.010	2.960	France	the cave is located on the Sargel plateau 3 miles N of Saint-Rome-de-Cernon; it was first excavated in 1860 - the present report/s are based on Constantini's excavations in the 1960s (specifically 1965, 1967); Sargel 1 is one of 5 caves at the foot  of a limestone cliff and is the most important of the group in terms of stratigraphic details and artefacts; it opens into a long corridor (46m) within which the 1965/67 excavations took place - archaeological deposits are 3m thick; 12 levels were identified in the 1965 sounding, 14 in the 1967 sounding - dating between early Chasseen and EBA; Erroux (1984) lists only cereal species in the Chalcolithic levels (from early and late); Costantini (1984) notes the presence of acorns, hazelnuts and apples from the same levels (all chrred) [data combined in the db]	\N	\N	\N	\N
S02584	Lacustrine mud exposed in seacliff: multicomponent (Meso, BA) site	\N	55.309	-1.553	Great Britain	\N	\N	\N	\N	\N
S01833	Engis	\N	50.583	5.405	Belgium	\N	\N	\N	\N	\N
S09014	Pont-sur-Seine - Haut de Launoy	\N	48.510	3.590	France	\N	\N	\N	\N	\N
S10636	Debrecen-Tócópart, Erdőalja; Debrecen-Tócó-part, Erdőalja	Hajdú-Bihar County	47.525	21.586	Hungary	\N	2022-04-08 13:50:10	maria@localhost	2023-12-11 17:53:40	robert@localhost
S12806	Gomile; Gomile-Stična	\N	45.946	14.826	Slovenia	location of the village	2024-03-21 13:26:57	jelena@localhost	2024-03-21 13:26:57	jelena@localhost
S10212	Ostojićevo; Остојићево; Ostojićevo-Stari Vinogradi; Остојићево-Стари Виногради	\N	45.890	20.167	Serbia	\N	2022-01-21 15:58:42	jelena@macelab-server.biochem.ucl.ac.uk	2022-01-21 15:58:42	jelena@macelab-server.biochem.ucl.ac.uk
S04722	Erfurt-"Nordhäuserstrasse"	\N	50.990	11.000	Germany	\N	\N	\N	\N	\N
S13108	Mađilka; Мађилка; Mađilka-Staničenje; Мађилка-Станичење	\N	43.203	22.508	Serbia	location of the village	2024-01-29 13:07:51	jelena@localhost	2024-01-29 13:07:51	jelena@localhost
S06256	Canewdon	\N	51.627	0.777	Great Britain	\N	\N	\N	\N	\N
S11203	Okány; Okány 6	\N	46.898	21.353	Hungary	Found to town only with googlemaps; within 4 km	2022-08-25 11:01:22	sam@localhost	2022-08-25 11:01:36	sam@localhost
S03592	SAINT GERMAIN DES BOIS	\N	46.910	2.440	France	\N	\N	\N	\N	\N
S01215	Barbey "Chemin de Montereau"	\N	48.380	3.050	France	\N	\N	\N	\N	\N
S06732	Altar	\N	51.520	-9.643	Ireland	\N	\N	\N	\N	\N
S06630	Standrop Rigg	\N	55.450	-2.077	Great Britain	\N	\N	\N	\N	\N
S04542	Boury-en-Vexin	\N	49.240	1.730	France	\N	\N	\N	2023-04-20 14:05:31	Rscripts@localhost
S03818	SOT DE LA LAVOGNE	\N	44.340	3.500	France	\N	\N	\N	\N	\N
S07669	Zegotki 3; Żegotki 3	\N	52.675	18.208	Poland	\N	\N	\N	2023-09-13 09:32:06	jelena@localhost
S21001	Mosonszentmiklós-Pálmajor	\N	47.729	17.426	Hungary	location to the town	2025-05-04 15:21:07	jan_kolar@localhost	2025-05-04 15:21:07	jan_kolar@localhost
S12520	Pichori	Colchis	42.207	41.715	Georgia	Approximate location	2023-06-01 16:50:35	natalya@localhost	2023-06-01 16:50:35	natalya@localhost
S09217	Lodge farm, St Osyth	\N	51.797	1.096	Great Britain	\N	\N	\N	\N	\N
S07282	Whitewell	\N	52.854	-7.638	Ireland	\N	\N	\N	\N	\N
S01333	Bolsay Farm	\N	55.729	-6.420	Great Britain	\N	\N	\N	\N	\N
S07331	Obourg	\N	50.473	4.010	Belgium	\N	\N	\N	2023-04-20 14:44:04	Rscripts@localhost
S03586	Saint Cezaire dolmen du Prignon	\N	43.651	6.799	France	\N	\N	\N	\N	\N
S07821	Swiecice	\N	52.213	20.697	Poland	\N	\N	\N	\N	\N
S08682	Baumgarten	\N	48.300	16.870	Austria	\N	\N	\N	\N	\N
S11493	Кудринцы; Kudrintzy	Ternopil region (Тернопільська область)	48.621	26.292	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S04224	Wetzleinsdorf	\N	48.480	16.380	Austria	\N	\N	\N	\N	\N
S10957	Traian-Dealul Viei	Neamț County	46.867	26.600	Romania	\N	2022-05-13 19:12:19	jelena@localhost	2023-07-26 06:46:41	jelena@localhost
S20299	Geldermalsen-Meteren-De Bogen site 29 North settlement	Gelderland Province	51.860	5.280	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 13:36:40	jelena@localhost
S06206	Benderloch	\N	56.473	-5.376	Great Britain	\N	\N	\N	\N	\N
S07322	Den of Boddam	\N	57.464	-1.813	Great Britain	\N	\N	\N	\N	\N
S10066	Măgura-Boldul lui Moş Ivănuş	\N	44.015	25.408	Romania	\N	2022-01-27 08:22:34	jelena@localhost	2022-01-27 08:22:34	jelena@localhost
S07745	Łojewo 4; Lojewo 4	\N	52.737	18.309	Poland	\N	\N	\N	2023-09-12 11:19:11	jelena@localhost
S01429	Calden "Galeriegrab I"	\N	51.400	9.400	Germany	\N	\N	\N	\N	\N
S11652	Budeč - Na Týnici	Kladno	50.189	14.242	Czechia / Czech Republic	\N	2023-02-22 14:21:23	jan@localhost	2023-03-07 14:45:25	jan@localhost
S03528	Romains	\N	45.710	5.710	France	\N	\N	\N	\N	\N
S10165	Sajlovo; Сајлово; Sajlovo-lokalitet 5; Сајлово-локалитет 5	\N	45.273	19.771	Serbia	\N	2022-01-20 12:04:16	jelena@macelab-server.biochem.ucl.ac.uk	2024-01-11 09:42:40	jelena@localhost
S07280	Waterunder	\N	53.732	-6.397	Ireland	\N	\N	\N	\N	\N
S21030	Kandie	Pečky	50.087	15.033	Czechia / Czech Republic	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S12657	Folyás-Szilmeg; Polgár-Folyás Szilmeg; Szilmeg	Hajdú-Bihar county	47.803	21.147	Hungary	location of the village	2023-07-18 12:12:49	jelena@localhost	2023-07-18 12:12:49	jelena@localhost
S20412	Heteren-Het Lage Land	Gelderland Province	51.960	5.750	Netherlands	based on the publication groot2024a (not exact location)	2024-07-11 14:09:04	jelena@localhost	2024-07-18 12:10:55	jelena@localhost
S11070	Săcueni; Săcueni-Cetatea Boului	\N	47.350	22.095	Romania	\N	2022-06-06 08:32:01	jelena@localhost	2022-06-06 09:32:01	jelena@localhost
